,Lithology_(main),Hydrocarbon_type_(main),Tectonic_regime,Structural_setting,Region,Permeability_(air_average_mD),Porosity_(matrix_average_%),Depth_(top_reservoir_ft_TVD),Thickness_(gross_average_ft),Thickness_(net_pay_average_ft),Reservoir_period
8677,SANDSTONE,GAS,COMPRESSION,FORELAND,NORTH AMERICA,1.305,5.05,5153.499999999999,101.0,29.75,NEOGENE
8678,DOLOMITE,OIL,STRIKE-SLIP,WRENCH,FAR EAST,14.0,15.0,6288.5,475.0,101.5,PROTEROZOIC
8679,SANDSTONE,OIL,UPLIFT,INTRACRATONIC,NORTH AMERICA,850.0,22.75,5153.499999999999,46.5,48.25,CRETACEOUS
8680,SANDSTONE,OIL,COMPRESSION,INTRACRATONIC,NORTH AMERICA,850.0,26.25,1320.5,46.5,29.75,SILURIAN
8681,LIMESTONE,OIL,COMPRESSION,INVERSION,FORMER SOVIET UNION,5.3,15.0,7513.5,1152.0,101.5,CRETACEOUS
8682,LIMESTONE,OIL,COMPRESSION,INVERSION,FORMER SOVIET UNION,5.3,5.05,5153.499999999999,1152.0,205.0,CARBONIFEROUS
8683,SANDSTONE,OIL,STRIKE-SLIP,WRENCH,FAR EAST,35.0,12.65,1320.5,7000.0,140.0,PALEOGENE
8684,SANDSTONE,OIL,GRAVITY,SALT,MIDDLE EAST,4350.0,41.5,4089.999999999999,245.0,48.25,PALEOGENE
8685,SANDSTONE,OIL,COMPRESSION,INTRACRATONIC,NORTH AMERICA,14.0,22.75,5153.499999999999,160.0,101.5,CARBONIFEROUS
8686,LIMESTONE,OIL,INVERSION,INVERSION,LATIN AMERICA,850.0,26.25,1320.5,676.9999999999999,1700.5,NEOGENE
8687,DOLOMITE,OIL,COMPRESSION,INTRACRATONIC,NORTH AMERICA,5.3,10.15,5153.499999999999,46.5,11.5,PERMIAN
8688,SANDSTONE,OIL,INVERSION,INVERSION,FAR EAST,361.0,20.0,7513.5,345.0,71.5,NEOGENE
8689,SANDSTONE,GAS,COMPRESSION,THRUST,FAR EAST,850.0,22.75,1320.5,676.9999999999999,337.5,NEOGENE
8690,DOLOMITE,GAS,INVERSION,RIFT,FAR EAST,1.305,5.05,2960.5,475.0,337.5,TRIASSIC
8691,SANDSTONE,OIL,GRAVITY,PASSIVE MARGIN,NORTH AMERICA,75.0,15.0,2960.5,46.5,29.75,CARBONIFEROUS
8692,LIMESTONE,BITUMEN,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,850.0,26.25,15389.0,345.0,101.5,CARBONIFEROUS
8693,LIMESTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,14.0,15.0,4089.999999999999,676.9999999999999,1700.5,CRETACEOUS
8694,LOW-RESISTIVITY SANDSTONE,OIL,EXTENSION,RIFT,FAR EAST,75.0,20.0,2960.5,160.0,48.25,PROTEROZOIC
8695,DOLOMITE,GAS,COMPRESSION,FORELAND,NORTH AMERICA,5.3,5.05,15389.0,160.0,29.75,DEVONIAN
8696,LOW-RESISTIVITY SANDSTONE,GAS,EXTENSION,RIFT,FAR EAST,5.3,12.65,4089.999999999999,101.0,71.5,PROTEROZOIC
8697,SANDSTONE,OIL,GRAVITY,PASSIVE MARGIN,NORTH AMERICA,4350.0,41.5,7513.5,46.5,29.75,DEVONIAN
8698,SILTSTONE,OIL,EXTENSION,RIFT,AFRICA,35.0,10.15,1320.5,1152.0,101.5,NEOGENE
8699,SANDSTONE,OIL,INVERSION,INTRACRATONIC,FAR EAST,850.0,17.5,5153.499999999999,101.0,48.25,ORDOVICIAN
8700,LIMESTONE,OIL,COMPRESSION,INTRACRATONIC,NORTH AMERICA,35.0,17.5,5153.499999999999,101.0,71.5,CRETACEOUS
8701,LIMESTONE,OIL,EXTENSION,RIFT,EUROPE,14.0,17.5,8763.5,475.0,337.5,TRIASSIC
8702,DOLOMITE,OIL,EXTENSION,RIFT,FAR EAST,5.3,10.15,4089.999999999999,676.9999999999999,337.5,PALEOGENE
8703,SANDSTONE,OIL,GRAVITY,SALT,NORTH AMERICA,361.0,15.0,4089.999999999999,245.0,29.75,CRETACEOUS
8704,SANDSTONE,OIL,GRAVITY,SALT,EUROPE,4350.0,26.25,4089.999999999999,475.0,205.0,TRIASSIC
8705,LIMESTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,35.0,15.0,7513.5,160.0,71.5,CARBONIFEROUS
8706,SILTSTONE,OIL,GRAVITY,SALT,NORTH AMERICA,14.0,10.15,10170.0,245.0,48.25,CRETACEOUS
8707,SANDSTONE,GAS,INVERSION,INVERSION,FAR EAST,75.0,17.5,6288.5,345.0,205.0,PROTEROZOIC
8708,LIMESTONE,OIL,EXTENSION,RIFT,AFRICA,35.0,10.15,6288.5,345.0,71.5,CRETACEOUS
8709,LOW-RESISTIVITY SANDSTONE,OIL,STRIKE-SLIP,WRENCH,FAR EAST,75.0,20.0,7513.5,46.5,29.75,NEOGENE
8710,VOLCANICS,GAS-CONDENSATE,EXTENSION,RIFT,EUROPE,850.0,20.0,5153.499999999999,245.0,48.25,JURASSIC
8711,SANDSTONE,OIL,INVERSION,INVERSION,FAR EAST,361.0,12.65,6288.5,245.0,71.5,NEOGENE
8712,SANDSTONE,GAS,COMPRESSION,SUB-SALT,FORMER SOVIET UNION,35.0,15.0,7513.5,1152.0,205.0,CRETACEOUS
8713,SANDSTONE,GAS-CONDENSATE,EXTENSION,RIFT,AFRICA,75.0,15.0,15389.0,345.0,101.5,CRETACEOUS
8714,SHALY SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,850.0,41.5,4089.999999999999,46.5,29.75,JURASSIC
8715,LIMESTONE,GAS,COMPRESSION,INVERSION,FORMER SOVIET UNION,161.0,12.65,4089.999999999999,1152.0,71.5,NEOGENE
8716,SANDSTONE,OIL,EXTENSION,RIFT,FAR EAST,4350.0,41.5,5153.499999999999,7000.0,1700.5,CRETACEOUS
8717,SHALY SANDSTONE,OIL,GRAVITY,PASSIVE MARGIN,NORTH AMERICA,14.0,10.15,1320.5,160.0,101.5,CRETACEOUS
8718,THINLY-BEDDED SANDSTONE,GAS-CONDENSATE,COMPRESSION,SUB-SALT,FORMER SOVIET UNION,161.0,22.75,15389.0,1152.0,1700.5,NEOGENE
8719,DOLOMITE,OIL,EXTENSION,PASSIVE MARGIN,AFRICA,35.0,17.5,7513.5,46.5,11.5,NEOGENE
8720,THINLY-BEDDED SANDSTONE,GAS,COMPRESSION,INTRACRATONIC,NORTH AMERICA,14.0,17.5,2960.5,46.5,48.25,CRETACEOUS
8721,SANDSTONE,OIL,EXTENSION,PASSIVE MARGIN,FAR EAST,850.0,17.5,1320.5,1152.0,337.5,PROTEROZOIC
8722,LIMESTONE,OIL,COMPRESSION,SALT,MIDDLE EAST,14.0,15.0,8763.5,160.0,101.5,JURASSIC
8723,DOLOMITE,GAS,INVERSION,INVERSION,EUROPE,1.305,5.05,8763.5,345.0,140.0,TRIASSIC
8724,LOW-RESISTIVITY SANDSTONE,OIL,GRAVITY,DELTA,NORTH AMERICA,161.0,22.75,15389.0,7000.0,1700.5,CARBONIFEROUS
8725,VOLCANICS,OIL,COMPRESSION,FORELAND,MIDDLE EAST,75.0,10.15,6288.5,7000.0,1700.5,CRETACEOUS
8726,DOLOMITE,OIL,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,75.0,10.15,5153.499999999999,245.0,101.5,PROTEROZOIC
8727,SANDSTONE,OIL,EXTENSION,RIFT,EUROPE,5.3,20.0,6288.5,1152.0,205.0,CRETACEOUS
8728,LIMESTONE,OIL,INVERSION,INVERSION,FAR EAST,14.0,26.25,7513.5,160.0,29.75,CARBONIFEROUS
8729,LIMESTONE,OIL,COMPRESSION,SUB-THRUST,NORTH AMERICA,35.0,17.5,6288.5,475.0,1700.5,NEOGENE
8730,SANDSTONE,OIL,EXTENSION,RIFT,AFRICA,4350.0,41.5,6288.5,101.0,101.5,NEOGENE
8731,SANDSTONE,GAS,COMPRESSION,FORELAND,NORTH AMERICA,35.0,15.0,5153.499999999999,345.0,337.5,CRETACEOUS
8732,SANDSTONE,OIL,EXTENSION,RIFT,FAR EAST,850.0,41.5,4089.999999999999,1152.0,140.0,CRETACEOUS
8733,SANDSTONE,OIL,COMPRESSION,SALT,MIDDLE EAST,850.0,22.75,6288.5,245.0,205.0,CRETACEOUS
8734,SANDSTONE,OIL,GRAVITY,PASSIVE MARGIN,NORTH AMERICA,35.0,20.0,4089.999999999999,345.0,29.75,DEVONIAN
8735,DOLOMITIC LIMESTONE,OIL,COMPRESSION,WRENCH,NORTH AMERICA,5.3,10.15,8763.5,46.5,11.5,CRETACEOUS
8736,SANDSTONE,OIL,EXTENSION,RIFT,AFRICA,4350.0,41.5,4089.999999999999,7000.0,71.5,CRETACEOUS
8737,DOLOMITE,OIL,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,75.0,12.65,8763.5,245.0,205.0,NEOGENE
8738,LIMESTONE,GAS,COMPRESSION,FORELAND,NORTH AMERICA,35.0,15.0,6288.5,160.0,101.5,PERMIAN
8739,SANDSTONE,OIL,STRIKE-SLIP,WRENCH,FAR EAST,361.0,22.75,2960.5,7000.0,1700.5,PALEOGENE
8740,LIMESTONE,OIL,COMPRESSION,INTRACRATONIC,NORTH AMERICA,75.0,20.0,10170.0,160.0,71.5,PERMIAN
8741,SANDSTONE,OIL,EXTENSION,RIFT,FAR EAST,161.0,17.5,5153.499999999999,1152.0,29.75,PALEOGENE
8742,DOLOMITIC LIMESTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,5.3,10.15,2960.5,245.0,140.0,CRETACEOUS
8743,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,75.0,20.0,6288.5,245.0,337.5,CRETACEOUS
8744,SANDSTONE,OIL,COMPRESSION,FORELAND,FORMER SOVIET UNION,35.0,15.0,6288.5,46.5,29.75,CRETACEOUS
8745,LIMESTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,35.0,10.15,5153.499999999999,676.9999999999999,101.5,CRETACEOUS
8746,SANDSTONE,GAS,GRAVITY,SALT,MIDDLE EAST,161.0,17.5,10170.0,1152.0,1700.5,CRETACEOUS
8747,DOLOMITE,GAS-CONDENSATE,STRIKE-SLIP,BACKARC,FAR EAST,361.0,10.15,10170.0,475.0,101.5,NEOGENE
8748,SANDSTONE,OIL,EXTENSION,RIFT,FAR EAST,4350.0,41.5,4089.999999999999,676.9999999999999,205.0,CARBONIFEROUS
8749,LIMESTONE,OIL,STRIKE-SLIP,INVERSION,FORMER SOVIET UNION,161.0,17.5,2960.5,676.9999999999999,1700.5,NEOGENE
8750,DOLOMITE,OIL,EXTENSION,RIFT,EUROPE,14.0,15.0,1320.5,46.5,29.75,JURASSIC
8751,LIMESTONE,OIL,COMPRESSION,INTRACRATONIC,NORTH AMERICA,35.0,20.0,5153.499999999999,160.0,11.5,PALEOGENE
8752,SANDSTONE,OIL,EXTENSION,SUB-SALT,AFRICA,161.0,17.5,10170.0,7000.0,140.0,CRETACEOUS
8753,SANDSTONE,GAS-CONDENSATE,COMPRESSION,FORELAND,NORTH AMERICA,5.3,5.05,5153.499999999999,345.0,71.5,PERMIAN
8754,SANDSTONE,GAS,COMPRESSION,THRUST,FORMER SOVIET UNION,361.0,26.25,7513.5,475.0,337.5,CRETACEOUS
8755,LOW-RESISTIVITY SANDSTONE,GAS,COMPRESSION,FORELAND,MIDDLE EAST,4350.0,41.5,4089.999999999999,475.0,140.0,CRETACEOUS
8756,SANDSTONE,GAS,INVERSION,RIFT,AFRICA,361.0,17.5,10170.0,345.0,11.5,CRETACEOUS
8757,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,14.0,17.5,2960.5,101.0,71.5,CARBONIFEROUS
8758,SANDSTONE,GAS,GRAVITY,SALT,MIDDLE EAST,361.0,26.25,15389.0,101.0,29.75,CRETACEOUS
8759,SANDSTONE,OIL,GRAVITY,SALT,LATIN AMERICA,35.0,15.0,8763.5,475.0,337.5,CRETACEOUS
8760,LIMESTONE,OIL,EXTENSION,RIFT,FAR EAST,35.0,10.15,10170.0,245.0,337.5,NEOGENE
8761,SANDSTONE,GAS-CONDENSATE,EXTENSION,RIFT,EUROPE,361.0,41.5,1320.5,475.0,140.0,JURASSIC
8762,SANDSTONE,GAS,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,361.0,26.25,2960.5,245.0,48.25,CARBONIFEROUS
8763,DOLOMITE,OIL,INVERSION,INVERSION,FORMER SOVIET UNION,75.0,10.15,5153.499999999999,46.5,11.5,CARBONIFEROUS
8764,SANDSTONE,OIL,INVERSION,INVERSION,EUROPE,850.0,17.5,4089.999999999999,101.0,29.75,CRETACEOUS
8765,SANDSTONE,OIL,COMPRESSION,WRENCH,NORTH AMERICA,850.0,26.25,7513.5,676.9999999999999,71.5,CARBONIFEROUS
8766,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,850.0,22.75,2960.5,160.0,101.5,CARBONIFEROUS
8767,SANDSTONE,OIL,COMPRESSION,SUB-SALT,AFRICA,850.0,20.0,2960.5,1152.0,1700.5,CRETACEOUS
8768,SANDSTONE,OIL,INVERSION,INVERSION,FAR EAST,850.0,26.25,4089.999999999999,475.0,337.5,MESOZOIC
8769,CHALKY LIMESTONE,GAS,COMPRESSION,INTRACRATONIC,NORTH AMERICA,5.3,26.25,1320.5,245.0,140.0,JURASSIC
8770,LIMESTONE,OIL,GRAVITY,SALT,NORTH AMERICA,35.0,10.15,10170.0,46.5,48.25,CARBONIFEROUS
8771,LIMESTONE,GAS-CONDENSATE,INVERSION,BACKARC,FAR EAST,14.0,10.15,8763.5,676.9999999999999,140.0,PALEOGENE
8772,SANDSTONE,OIL,COMPRESSION,THRUST,NORTH AMERICA,850.0,17.5,7513.5,7000.0,205.0,CRETACEOUS
8773,SANDSTONE,OIL,TRANSTENSION,WRENCH,FAR EAST,35.0,22.75,7513.5,676.9999999999999,337.5,CRETACEOUS
8774,SANDSTONE,GAS,COMPRESSION,FORELAND,NORTH AMERICA,161.0,15.0,15389.0,1152.0,337.5,CRETACEOUS
8775,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,850.0,17.5,7513.5,46.5,29.75,CARBONIFEROUS
8776,LIMESTONE,GAS-CONDENSATE,COMPRESSION,FORELAND,EUROPE,361.0,22.75,5153.499999999999,46.5,29.75,JURASSIC
8777,DOLOMITE,OIL,COMPRESSION,FORELAND,MIDDLE EAST,5.3,5.05,5153.499999999999,1152.0,1700.5,CRETACEOUS
8778,SANDSTONE,GAS,GRAVITY,SALT,MIDDLE EAST,850.0,22.75,10170.0,160.0,29.75,PERMIAN
8779,SANDSTONE,OIL,EXTENSION,INTRACRATONIC,EUROPE,850.0,26.25,1320.5,46.5,48.25,JURASSIC
8780,BASEMENT,OIL,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,1.305,10.15,6288.5,7000.0,1700.5,CRETACEOUS
8781,SANDSTONE,GAS-CONDENSATE,COMPRESSION,THRUST,FAR EAST,4350.0,26.25,6288.5,475.0,29.75,NEOGENE
8782,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,850.0,26.25,2960.5,46.5,29.75,CARBONIFEROUS
8783,SANDSTONE,OIL,COMPRESSION,THRUST,NORTH AMERICA,4350.0,41.5,1320.5,475.0,205.0,PALEOGENE
8784,LIMESTONE,CARBON DIOXIDE,EXTENSION,RIFT,EUROPE,5.3,15.0,8763.5,676.9999999999999,140.0,CRETACEOUS
8785,CHALKY LIMESTONE,OIL,STRIKE-SLIP,WRENCH,AFRICA,1.305,10.15,7513.5,7000.0,71.5,NEOGENE
8786,DOLOMITE,GAS,COMPRESSION,THRUST,FAR EAST,1.305,5.05,15389.0,101.0,71.5,JURASSIC
8787,CONGLOMERATE,GAS,GRAVITY,DELTA,NORTH AMERICA,5.3,10.15,7513.5,160.0,48.25,NEOGENE
8788,SANDSTONE,OIL,EXTENSION,RIFT,FAR EAST,4350.0,41.5,4089.999999999999,676.9999999999999,337.5,PALEOGENE
8789,SANDSTONE,OIL,COMPRESSION,RIFT,FORMER SOVIET UNION,35.0,17.5,10170.0,345.0,205.0,DEVONIAN
8790,SANDSTONE,GAS,EXTENSION,RIFT,AFRICA,361.0,20.0,6288.5,7000.0,71.5,NEOGENE
8791,SANDSTONE,GAS-CONDENSATE,STRIKE-SLIP,WRENCH,AFRICA,361.0,20.0,10170.0,345.0,48.25,CRETACEOUS
8792,SANDSTONE,OIL,GRAVITY,DELTA,NORTH AMERICA,850.0,17.5,7513.5,160.0,11.5,NEOGENE
8793,DOLOMITE,OIL,EXTENSION,RIFT,EUROPE,14.0,15.0,1320.5,46.5,48.25,PERMIAN
8794,SANDSTONE,OIL,EXTENSION,RIFT,FAR EAST,35.0,20.0,6288.5,676.9999999999999,1700.5,PALEOGENE
8795,LIMESTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,75.0,10.15,8763.5,676.9999999999999,1700.5,PERMIAN
8796,SANDSTONE,OIL,COMPRESSION,THRUST,FAR EAST,361.0,41.5,1320.5,345.0,11.5,PALEOGENE
8797,LIMESTONE,GAS-CONDENSATE,EXTENSION,BACKARC,FAR EAST,14.0,15.0,8763.5,676.9999999999999,48.25,PALEOGENE
8798,DOLOMITE,OIL,STRIKE-SLIP,INTRACRATONIC,NORTH AMERICA,1.305,5.05,7513.5,101.0,71.5,NEOGENE
8799,SHALY SANDSTONE,OIL,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,5.3,26.25,15389.0,160.0,29.75,CRETACEOUS
8800,LIMESTONE,OIL,COMPRESSION,THRUST,FAR EAST,1.305,10.15,2960.5,475.0,140.0,NEOGENE
8801,SHALY SANDSTONE,OIL,EXTENSION,RIFT,EUROPE,14.0,10.15,1320.5,676.9999999999999,101.5,CRETACEOUS
8802,SANDSTONE,OIL,EXTENSION,RIFT,FAR EAST,850.0,26.25,1320.5,1152.0,71.5,PALEOGENE
8803,SANDSTONE,GAS-CONDENSATE,COMPRESSION,FORELAND,NORTH AMERICA,35.0,20.0,10170.0,345.0,71.5,NEOGENE
8804,SANDSTONE,GAS-CONDENSATE,COMPRESSION,SALT,MIDDLE EAST,5.3,12.65,10170.0,676.9999999999999,1700.5,JURASSIC
8805,SILTSTONE,OIL,INVERSION,INVERSION,NORTH AMERICA,14.0,10.15,1320.5,46.5,48.25,CRETACEOUS
8806,SANDSTONE,OIL,EXTENSION,PASSIVE MARGIN,FAR EAST,161.0,15.0,5153.499999999999,46.5,29.75,NEOGENE
8807,THINLY-BEDDED SANDSTONE,OIL,COMPRESSION,SUB-SALT,FORMER SOVIET UNION,14.0,26.25,8763.5,1152.0,337.5,DEVONIAN
8808,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,1.305,5.05,15389.0,101.0,11.5,JURASSIC
8809,SANDSTONE,OIL,COMPRESSION,INTRACRATONIC,NORTH AMERICA,35.0,15.0,8763.5,46.5,48.25,CRETACEOUS
8810,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,850.0,26.25,2960.5,46.5,29.75,JURASSIC
8811,DOLOMITE,OIL,COMPRESSION,FORELAND,FORMER SOVIET UNION,75.0,17.5,4089.999999999999,7000.0,140.0,NEOGENE
8812,LIMESTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,35.0,17.5,6288.5,245.0,205.0,NEOGENE
8813,SANDSTONE,GAS,INVERSION,INVERSION,FAR EAST,14.0,15.0,2960.5,345.0,140.0,NEOGENE
8814,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,850.0,17.5,2960.5,345.0,140.0,JURASSIC
8815,SANDSTONE,OIL,STRIKE-SLIP,INVERSION,FORMER SOVIET UNION,35.0,15.0,8763.5,245.0,48.25,DEVONIAN
8816,DOLOMITIC LIMESTONE,GAS,INVERSION,RIFT,EUROPE,361.0,12.65,4089.999999999999,1152.0,337.5,JURASSIC
8817,SANDSTONE,OIL,EXTENSION,RIFT,EUROPE,75.0,10.15,8763.5,101.0,71.5,TRIASSIC
8818,CONGLOMERATE,OIL,COMPRESSION,SALT,MIDDLE EAST,4350.0,41.5,15389.0,676.9999999999999,337.5,CRETACEOUS
8819,DOLOMITE,OIL,COMPRESSION,THRUST,FAR EAST,14.0,5.05,4089.999999999999,46.5,29.75,NEOGENE
8820,SILTSTONE,OIL,COMPRESSION,INTRACRATONIC,NORTH AMERICA,14.0,10.15,1320.5,101.0,29.75,PALEOGENE
8821,SANDSTONE,OIL,INVERSION,INVERSION,FAR EAST,4350.0,41.5,1320.5,101.0,48.25,NEOGENE
8822,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,850.0,17.5,7513.5,160.0,48.25,CRETACEOUS
8823,SANDSTONE,GAS,STRIKE-SLIP,WRENCH,LATIN AMERICA,850.0,26.25,4089.999999999999,7000.0,140.0,PALEOGENE
8824,SANDSTONE,OIL,GRAVITY,SALT,MIDDLE EAST,850.0,12.65,15389.0,245.0,48.25,JURASSIC
8825,SANDSTONE,OIL,EXTENSION,RIFT,EUROPE,850.0,41.5,4089.999999999999,345.0,11.5,CRETACEOUS
8826,LIMESTONE,OIL,COMPRESSION,INVERSION,FORMER SOVIET UNION,161.0,5.05,15389.0,1152.0,101.5,CARBONIFEROUS
8827,SANDSTONE,GAS,COMPRESSION,INTRACRATONIC,FAR EAST,75.0,26.25,2960.5,475.0,205.0,NEOGENE
8828,DOLOMITE,OIL,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,75.0,12.65,8763.5,245.0,205.0,PROTEROZOIC
8829,LIMESTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,161.0,5.05,10170.0,160.0,48.25,CRETACEOUS
8830,SANDSTONE,OIL,COMPRESSION,THRUST,FORMER SOVIET UNION,161.0,20.0,1320.5,7000.0,337.5,CRETACEOUS
8831,SANDSTONE,OIL,EXTENSION,PASSIVE MARGIN,AFRICA,361.0,41.5,4089.999999999999,1152.0,1700.5,CRETACEOUS
8832,DOLOMITE,GAS,COMPRESSION,SUB-THRUST,NORTH AMERICA,5.3,10.15,6288.5,245.0,71.5,CRETACEOUS
8833,DOLOMITIC LIMESTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,5.3,10.15,2960.5,475.0,337.5,PALEOGENE
8834,SANDSTONE,GAS-CONDENSATE,EXTENSION,PASSIVE MARGIN,EUROPE,35.0,15.0,15389.0,101.0,11.5,PALEOGENE
8835,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,75.0,15.0,6288.5,245.0,101.5,SILURIAN
8836,CHALKY LIMESTONE,OIL,COMPRESSION,SUB-THRUST,NORTH AMERICA,4350.0,26.25,7513.5,160.0,11.5,PERMIAN
8837,SANDSTONE,GAS,GRAVITY,DELTA,NORTH AMERICA,1.305,17.5,8763.5,345.0,205.0,DEVONIAN
8838,SANDSTONE,OIL,INVERSION,RIFT,EUROPE,161.0,17.5,10170.0,245.0,101.5,PERMIAN
8839,SANDSTONE,OIL,TRANSTENSION,WRENCH,FAR EAST,4350.0,41.5,1320.5,7000.0,1700.5,CRETACEOUS
8840,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,850.0,17.5,2960.5,46.5,29.75,DEVONIAN
8841,SANDSTONE,OIL,GRAVITY,SALT,MIDDLE EAST,850.0,17.5,10170.0,245.0,29.75,JURASSIC
8842,SANDSTONE,OIL,COMPRESSION,INTRACRATONIC,NORTH AMERICA,75.0,26.25,1320.5,46.5,29.75,CARBONIFEROUS
8843,DOLOMITE,BITUMEN,COMPRESSION,FORELAND,NORTH AMERICA,361.0,10.15,2960.5,245.0,101.5,JURASSIC
8844,LIMESTONE,OIL,INVERSION,INVERSION,FAR EAST,1.305,10.15,1320.5,160.0,71.5,PALEOGENE
8845,CHERT,OIL,EXTENSION,RIFT,NORTH AMERICA,5.3,15.0,15389.0,345.0,337.5,PERMIAN
8846,SANDSTONE,OIL,EXTENSION,RIFT,EUROPE,4350.0,26.25,1320.5,475.0,337.5,CRETACEOUS
8847,SANDSTONE,OIL,COMPRESSION,FORELAND,FORMER SOVIET UNION,161.0,12.65,4089.999999999999,160.0,29.75,NEOGENE
8848,SANDSTONE,OIL,EXTENSION,RIFT,FAR EAST,4350.0,41.5,2960.5,475.0,337.5,JURASSIC
8849,SANDSTONE,OIL,GRAVITY,SALT,MIDDLE EAST,4350.0,20.0,7513.5,245.0,140.0,CRETACEOUS
8850,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,35.0,15.0,6288.5,46.5,29.75,PERMIAN
8851,SANDSTONE,OIL,COMPRESSION,THRUST,NORTH AMERICA,75.0,20.0,1320.5,475.0,101.5,PALEOGENE
8852,SANDSTONE,OIL,STRIKE-SLIP,WRENCH,LATIN AMERICA,361.0,12.65,5153.499999999999,46.5,29.75,PALEOGENE
8853,LIMESTONE,OIL,GRAVITY,SALT,NORTH AMERICA,161.0,5.05,10170.0,245.0,11.5,CARBONIFEROUS
8854,LOW-RESISTIVITY SANDSTONE,OIL,INVERSION,INVERSION,FORMER SOVIET UNION,850.0,22.75,7513.5,160.0,48.25,JURASSIC
8855,CHALKY LIMESTONE,OIL,EXTENSION,FORELAND,NORTH AMERICA,161.0,26.25,10170.0,160.0,101.5,DEVONIAN
8856,SANDSTONE,OIL,EXTENSION,RIFT,EUROPE,161.0,22.75,7513.5,676.9999999999999,101.5,TRIASSIC
8857,SANDSTONE,GAS,COMPRESSION,FORELAND,NORTH AMERICA,1.305,10.15,4089.999999999999,1152.0,205.0,NEOGENE
8858,LIMESTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,75.0,22.75,4089.999999999999,676.9999999999999,205.0,CRETACEOUS
8859,SANDSTONE,OIL,EXTENSION,RIFT,EUROPE,4350.0,20.0,8763.5,101.0,11.5,JURASSIC
8860,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,75.0,20.0,5153.499999999999,101.0,11.5,PERMIAN
8861,BASEMENT,OIL,GRAVITY,DELTA,NORTH AMERICA,4350.0,20.0,5153.499999999999,160.0,71.5,PALEOGENE
8862,CHALK,OIL,EXTENSION,INTRACRATONIC,EUROPE,1.305,41.5,4089.999999999999,7000.0,1700.5,PERMIAN
8863,SHALY SANDSTONE,OIL,COMPRESSION,THRUST,NORTH AMERICA,850.0,41.5,7513.5,475.0,140.0,CARBONIFEROUS
8864,SANDSTONE,OIL,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,361.0,17.5,8763.5,46.5,11.5,JURASSIC
8865,SANDSTONE,OIL,COMPRESSION,THRUST,FAR EAST,5.3,15.0,10170.0,245.0,29.75,PALEOGENE
8866,DOLOMITE,GAS,INVERSION,INVERSION,FAR EAST,5.3,5.05,8763.5,101.0,29.75,PROTEROZOIC
8867,SANDSTONE,OIL,COMPRESSION,SUB-SALT,FORMER SOVIET UNION,161.0,22.75,5153.499999999999,1152.0,101.5,CARBONIFEROUS
8868,SANDSTONE,OIL,COMPRESSION,FORELAND,FAR EAST,161.0,15.0,15389.0,1152.0,337.5,PALEOGENE
8869,SANDSTONE,GAS-CONDENSATE,EXTENSION,RIFT,FAR EAST,4350.0,41.5,5153.499999999999,345.0,101.5,NEOGENE
8870,SANDSTONE,GAS,COMPRESSION,INTRACRATONIC,NORTH AMERICA,161.0,15.0,1320.5,475.0,337.5,DEVONIAN
8871,SANDSTONE,GAS,STRIKE-SLIP,INTRACRATONIC,NORTH AMERICA,850.0,17.5,4089.999999999999,101.0,71.5,SILURIAN
8872,SANDSTONE,GAS-CONDENSATE,COMPRESSION,SALT,MIDDLE EAST,5.3,17.5,15389.0,676.9999999999999,337.5,JURASSIC
