,Hydrocarbon_type_(main),Depth_(top_reservoir_ft_TVD),Tectonic_regime,Structural_setting,Region,Thickness_(gross_average_ft),Thickness_(net_pay_average_ft),Reservoir_period,Lithology_(main),Permeability_(air_average_mD),Porosity_(matrix_average_%)
7375,OIL,7513.5,COMPRESSION,SALT,MIDDLE EAST,160.0,71.5,CRETACEOUS,CHALKY LIMESTONE,5.3,15.0
7376,OIL,7513.5,COMPRESSION,FORELAND,NORTH AMERICA,160.0,11.5,PERMIAN,LIMESTONE,161.0,12.65
7377,OIL,2960.5,EXTENSION,RIFT,FAR EAST,160.0,140.0,PALEOGENE,LIMESTONE,161.0,12.65
7378,OIL,2960.5,EXTENSION,RIFT,NORTH AMERICA,160.0,11.5,CRETACEOUS,LIMESTONE,14.0,15.0
7379,GAS-CONDENSATE,15389.0,GRAVITY,DELTA,NORTH AMERICA,46.5,29.75,NEOGENE,THINLY-BEDDED SANDSTONE,361.0,20.0
7380,OIL,10170.0,EXTENSION,RIFT,FAR EAST,7000.0,1700.5,PALEOGENE,SANDSTONE,35.0,10.15
7381,OIL,5153.499999999999,COMPRESSION,THRUST,FAR EAST,676.9999999999999,337.5,PALEOGENE,SANDSTONE,850.0,17.5
7382,OIL,2960.5,INVERSION,SALT,EUROPE,46.5,29.75,JURASSIC,SANDSTONE,361.0,22.75
7383,GAS,8763.5,COMPRESSION,FORELAND,MIDDLE EAST,475.0,1700.5,CRETACEOUS,CHALKY LIMESTONE,1.305,22.75
7384,OIL,5153.499999999999,INVERSION,INVERSION,FAR EAST,676.9999999999999,205.0,NEOGENE,SANDSTONE,35.0,26.25
7385,OIL,7513.5,EXTENSION,RIFT,AFRICA,345.0,101.5,CRETACEOUS,LIMESTONE,14.0,10.15
7386,OIL,2960.5,COMPRESSION,THRUST,FAR EAST,160.0,11.5,PALEOGENE,SANDSTONE,75.0,17.5
7387,OIL,4089.999999999999,COMPRESSION,FORELAND,NORTH AMERICA,160.0,71.5,CARBONIFEROUS,LIMESTONE,75.0,12.65
7388,GAS,15389.0,COMPRESSION,THRUST,FAR EAST,676.9999999999999,140.0,NEOGENE,LIMESTONE,35.0,17.5
7389,OIL,8763.5,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,245.0,29.75,CRETACEOUS,SANDSTONE,161.0,22.75
7390,OIL,2960.5,COMPRESSION,SALT,MIDDLE EAST,160.0,48.25,CRETACEOUS,CHALK,1.305,41.5
7391,OIL,5153.499999999999,EXTENSION,RIFT,AFRICA,345.0,205.0,CRETACEOUS,SANDSTONE,4350.0,41.5
7392,GAS-CONDENSATE,10170.0,EXTENSION,RIFT,EUROPE,245.0,48.25,TRIASSIC,SANDSTONE,75.0,26.25
7393,OIL,8763.5,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,1152.0,1700.5,CRETACEOUS,SANDSTONE,361.0,12.65
7394,GAS,10170.0,GRAVITY,DELTA,NORTH AMERICA,345.0,205.0,NEOGENE,SANDSTONE,35.0,10.15
7395,OIL,4089.999999999999,INVERSION,SUB-SALT,EUROPE,101.0,71.5,PERMIAN,SANDSTONE,361.0,22.75
7396,OIL,8763.5,EXTENSION,INTRACRATONIC,EUROPE,245.0,140.0,JURASSIC,SANDSTONE,14.0,15.0
7397,OIL,15389.0,COMPRESSION,THRUST,FAR EAST,676.9999999999999,337.5,TRIASSIC,CONGLOMERATE,5.3,12.65
7398,OIL,6288.5,INVERSION,RIFT,FAR EAST,475.0,337.5,TRIASSIC,SANDSTONE,161.0,17.5
7399,OIL,7513.5,STRIKE-SLIP,WRENCH,NORTH AMERICA,160.0,71.5,NEOGENE,THINLY-BEDDED SANDSTONE,850.0,26.25
7400,GAS-CONDENSATE,6288.5,COMPRESSION,FORELAND,NORTH AMERICA,46.5,48.25,CARBONIFEROUS,SANDSTONE,35.0,10.15
7401,OIL,1320.5,COMPRESSION,FORELAND,NORTH AMERICA,475.0,101.5,CRETACEOUS,SANDSTONE,850.0,22.75
7402,OIL,1320.5,COMPRESSION,SALT,MIDDLE EAST,245.0,101.5,CRETACEOUS,CHALKY LIMESTONE,5.3,10.15
7403,OIL,7513.5,COMPRESSION,THRUST,FAR EAST,676.9999999999999,337.5,CRETACEOUS,SANDSTONE,161.0,15.0
7404,OIL,8763.5,COMPRESSION,SUB-SALT,FORMER SOVIET UNION,345.0,11.5,CARBONIFEROUS,LIMESTONE,161.0,10.15
7405,OIL,7513.5,GRAVITY,SALT,NORTH AMERICA,160.0,71.5,NEOGENE,SHALY SANDSTONE,850.0,22.75
7406,OIL,8763.5,COMPRESSION,THRUST,FAR EAST,345.0,101.5,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,4350.0,41.5
7407,OIL,7513.5,COMPRESSION,WRENCH,NORTH AMERICA,7000.0,205.0,NEOGENE,SANDSTONE,161.0,12.65
7408,GAS-CONDENSATE,15389.0,COMPRESSION,INTRACRATONIC,NORTH AMERICA,101.0,48.25,DEVONIAN,LIMESTONE,850.0,22.75
7409,OIL,4089.999999999999,GRAVITY,SALT,NORTH AMERICA,245.0,101.5,JURASSIC,SANDSTONE,1.305,12.65
7410,OIL,6288.5,COMPRESSION,FORELAND,NORTH AMERICA,46.5,11.5,TRIASSIC,SANDSTONE,161.0,15.0
7411,OIL,15389.0,COMPRESSION,FORELAND,MIDDLE EAST,1152.0,48.25,JURASSIC,LIMESTONE,75.0,15.0
7412,OIL,2960.5,COMPRESSION,THRUST,FAR EAST,676.9999999999999,101.5,TRIASSIC,CONGLOMERATE,75.0,17.5
7413,GAS-CONDENSATE,10170.0,EXTENSION,RIFT,AFRICA,1152.0,140.0,CRETACEOUS,LIMESTONE,75.0,20.0
7414,OIL,10170.0,EXTENSION,PASSIVE MARGIN,FAR EAST,160.0,71.5,NEOGENE,LIMESTONE,161.0,20.0
7415,GAS,15389.0,COMPRESSION,FORELAND,NORTH AMERICA,46.5,29.75,DEVONIAN,LIMESTONE,161.0,20.0
7416,OIL,5153.499999999999,COMPRESSION,FORELAND,NORTH AMERICA,1152.0,1700.5,DEVONIAN,DOLOMITE,14.0,5.05
7417,OIL,15389.0,COMPRESSION,THRUST,FAR EAST,1152.0,101.5,JURASSIC,SANDSTONE,161.0,20.0
7418,OIL,4089.999999999999,COMPRESSION,FORELAND,NORTH AMERICA,345.0,337.5,CRETACEOUS,SANDSTONE,850.0,17.5
7419,METHANE HYDRATE,2960.5,COMPRESSION,FORELAND,FORMER SOVIET UNION,1152.0,1700.5,CARBONIFEROUS,LIMESTONE,14.0,22.75
7420,OIL,4089.999999999999,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,676.9999999999999,205.0,CRETACEOUS,SANDSTONE,35.0,10.15
7421,OIL,5153.499999999999,INVERSION,INVERSION,FAR EAST,475.0,337.5,PALEOGENE,SANDSTONE,161.0,20.0
7422,OIL,8763.5,INVERSION,INVERSION,FORMER SOVIET UNION,345.0,101.5,PROTEROZOIC,DOLOMITE,5.3,26.25
7423,GAS,10170.0,INVERSION,INVERSION,FAR EAST,1152.0,140.0,PALEOGENE,SANDSTONE,361.0,20.0
7424,GAS-CONDENSATE,15389.0,GRAVITY,PASSIVE MARGIN,AFRICA,1152.0,337.5,CRETACEOUS,SANDSTONE,850.0,26.25
7425,OIL,4089.999999999999,COMPRESSION,FORELAND,MIDDLE EAST,160.0,48.25,JURASSIC,LIMESTONE,75.0,12.65
7426,GAS,15389.0,COMPRESSION,INTRACRATONIC,NORTH AMERICA,1152.0,1700.5,TRIASSIC,SANDSTONE,850.0,17.5
7427,OIL,4089.999999999999,GRAVITY,SALT,NORTH AMERICA,46.5,48.25,JURASSIC,SANDSTONE,850.0,22.75
7428,OIL,1320.5,EXTENSION,PASSIVE MARGIN,FAR EAST,7000.0,1700.5,PALEOGENE,SANDSTONE,75.0,20.0
7429,OIL,2960.5,EXTENSION,RIFT,AFRICA,101.0,48.25,CAMBRIAN,SANDSTONE,850.0,26.25
7430,GAS,10170.0,COMPRESSION,FORELAND,NORTH AMERICA,46.5,29.75,CRETACEOUS,SANDSTONE,850.0,22.75
7431,OIL,5153.499999999999,EXTENSION,PASSIVE MARGIN,AFRICA,101.0,48.25,CRETACEOUS,SANDSTONE,4350.0,41.5
7432,GAS,10170.0,COMPRESSION,THRUST,FAR EAST,160.0,29.75,CRETACEOUS,THINLY-BEDDED SANDSTONE,850.0,41.5
7433,OIL,10170.0,COMPRESSION,FORELAND,EUROPE,676.9999999999999,140.0,CRETACEOUS,SANDSTONE,75.0,22.75
7434,OIL,2960.5,INVERSION,SALT,EUROPE,101.0,11.5,JURASSIC,SANDSTONE,161.0,22.75
7435,OIL,4089.999999999999,COMPRESSION,THRUST,FAR EAST,676.9999999999999,337.5,PALEOGENE,SANDSTONE,35.0,17.5
7436,OIL,2960.5,COMPRESSION,FORELAND,NORTH AMERICA,101.0,71.5,PERMIAN,DOLOMITE,1.305,10.15
7437,OIL,7513.5,COMPRESSION,FORELAND,FORMER SOVIET UNION,245.0,71.5,CARBONIFEROUS,LIMESTONE,35.0,12.65
7438,OIL,5153.499999999999,COMPRESSION,FORELAND,NORTH AMERICA,475.0,101.5,PERMIAN,DOLOMITE,14.0,12.65
7439,OIL,8763.5,GRAVITY,INTRACRATONIC,NORTH AMERICA,475.0,140.0,CARBONIFEROUS,LIMESTONE,4350.0,22.75
7440,OIL,8763.5,EXTENSION,RIFT,FAR EAST,101.0,48.25,PALEOGENE,SANDSTONE,161.0,15.0
7441,OIL,10170.0,INVERSION,INVERSION,FAR EAST,245.0,205.0,NEOGENE,SANDSTONE,161.0,22.75
7442,OIL,2960.5,EXTENSION,RIFT,NORTH AMERICA,46.5,11.5,CRETACEOUS,SANDSTONE,1.305,5.05
7443,GAS-CONDENSATE,2960.5,INVERSION,INVERSION,FAR EAST,245.0,11.5,NEOGENE,LIMESTONE,14.0,12.65
7444,OIL,5153.499999999999,INVERSION,INVERSION,AFRICA,475.0,140.0,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,850.0,22.75
7445,OIL,8763.5,GRAVITY,DELTA,NORTH AMERICA,46.5,11.5,PALEOGENE,SANDSTONE,75.0,10.15
7446,GAS,4089.999999999999,COMPRESSION,SALT,MIDDLE EAST,160.0,11.5,JURASSIC,LIMESTONE,35.0,10.15
7447,OIL,7513.5,COMPRESSION,FORELAND,NORTH AMERICA,7000.0,1700.5,PERMIAN,DOLOMITE,35.0,15.0
7448,OIL,8763.5,EXTENSION,INTRACRATONIC,EUROPE,475.0,140.0,TRIASSIC,SANDSTONE,850.0,22.75
7449,OIL,5153.499999999999,GRAVITY,DELTA,FAR EAST,245.0,101.5,NEOGENE,SANDSTONE,4350.0,26.25
7450,GAS-CONDENSATE,10170.0,COMPRESSION,INTRACRATONIC,FAR EAST,475.0,101.5,CRETACEOUS,SANDSTONE,4350.0,41.5
7451,OIL,15389.0,COMPRESSION,SALT,MIDDLE EAST,1152.0,1700.5,CRETACEOUS,CHALK,1.305,5.05
7452,GAS,10170.0,GRAVITY,SALT,NORTH AMERICA,46.5,29.75,JURASSIC,SANDSTONE,361.0,22.75
7453,OIL,10170.0,COMPRESSION,FORELAND,NORTH AMERICA,101.0,71.5,PERMIAN,DOLOMITE,35.0,12.65
7454,OIL,2960.5,COMPRESSION,FORELAND,NORTH AMERICA,245.0,140.0,PERMIAN,DOLOMITE,5.3,15.0
7455,GAS,6288.5,INVERSION,RIFT,FAR EAST,160.0,101.5,ARCHEAN,BASEMENT,5.3,5.05
7456,OIL,7513.5,COMPRESSION,FORELAND,NORTH AMERICA,245.0,101.5,PERMIAN,LIMESTONE,161.0,17.5
7457,OIL,6288.5,EXTENSION,BACKARC,FAR EAST,1152.0,29.75,NEOGENE,SANDSTONE,75.0,17.5
7458,GAS,8763.5,COMPRESSION,FORELAND,NORTH AMERICA,245.0,29.75,PERMIAN,SANDSTONE,161.0,17.5
7459,GAS,1320.5,INVERSION,RIFT,FAR EAST,7000.0,1700.5,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,75.0,22.75
7460,OIL,2960.5,INVERSION,INVERSION,FAR EAST,101.0,71.5,PALEOGENE,SILTSTONE,1.305,5.05
7461,GAS,1320.5,INVERSION,INVERSION,EUROPE,245.0,140.0,CRETACEOUS,SANDSTONE,4350.0,41.5
7462,OIL,5153.499999999999,INVERSION,RIFT,FAR EAST,160.0,140.0,PALEOGENE,SANDSTONE,161.0,22.75
7463,OIL,4089.999999999999,GRAVITY,SALT,MIDDLE EAST,676.9999999999999,101.5,JURASSIC,LIMESTONE,35.0,15.0
7464,OIL,2960.5,EXTENSION,RIFT,EUROPE,245.0,205.0,JURASSIC,SANDSTONE,14.0,17.5
7465,OIL,10170.0,COMPRESSION,FORELAND,NORTH AMERICA,46.5,11.5,PERMIAN,SANDSTONE,850.0,17.5
7466,OIL,15389.0,COMPRESSION,FORELAND,FAR EAST,676.9999999999999,205.0,JURASSIC,SANDSTONE,4350.0,41.5
7467,OIL,1320.5,COMPRESSION,SUB-SALT,FORMER SOVIET UNION,7000.0,1700.5,CARBONIFEROUS,LIMESTONE,850.0,26.25
7468,OIL,4089.999999999999,EXTENSION,RIFT,AFRICA,46.5,48.25,CRETACEOUS,LIMESTONE,35.0,26.25
7469,OIL,4089.999999999999,EXTENSION,RIFT,FAR EAST,245.0,205.0,PALEOGENE,SANDSTONE,850.0,20.0
7470,OIL,15389.0,COMPRESSION,THRUST,NORTH AMERICA,1152.0,1700.5,CARBONIFEROUS,CONGLOMERATE,75.0,10.15
7471,GAS,6288.5,INVERSION,BACKARC,FAR EAST,101.0,71.5,NEOGENE,LIMESTONE,75.0,26.25
7472,GAS,1320.5,GRAVITY,PASSIVE MARGIN,NORTH AMERICA,7000.0,71.5,CRETACEOUS,SILTSTONE,1.305,10.15
7473,GAS,7513.5,INVERSION,INVERSION,FAR EAST,7000.0,205.0,NEOGENE,SANDSTONE,161.0,20.0
7474,OIL,5153.499999999999,EXTENSION,SUB-SALT,AFRICA,1152.0,1700.5,TRIASSIC,SANDSTONE,4350.0,26.25
7475,OIL,4089.999999999999,COMPRESSION,INTRACRATONIC,AFRICA,160.0,71.5,CAMBRIAN,SANDSTONE,161.0,22.75
7476,OIL,5153.499999999999,COMPRESSION,WRENCH,FORMER SOVIET UNION,676.9999999999999,101.5,CRETACEOUS,SANDSTONE,850.0,17.5
7477,OIL,6288.5,COMPRESSION,SUB-THRUST,FAR EAST,7000.0,205.0,TRIASSIC,SANDSTONE,1.305,5.05
7478,OIL,4089.999999999999,EXTENSION,RIFT,FAR EAST,676.9999999999999,337.5,PALEOGENE,SANDSTONE,1.305,5.05
7479,GAS,8763.5,COMPRESSION,FORELAND,NORTH AMERICA,46.5,11.5,CRETACEOUS,SANDSTONE,4350.0,41.5
7480,OIL,1320.5,GRAVITY,DELTA,AFRICA,345.0,205.0,NEOGENE,SANDSTONE,14.0,5.05
7481,CARBON DIOXIDE,1320.5,COMPRESSION,FORELAND,NORTH AMERICA,245.0,71.5,CRETACEOUS,SANDSTONE,161.0,10.15
7482,OIL,7513.5,COMPRESSION,FORELAND,NORTH AMERICA,46.5,11.5,JURASSIC,SANDSTONE,361.0,20.0
7483,OIL,7513.5,EVAPORITE,PASSIVE MARGIN,AFRICA,676.9999999999999,337.5,CRETACEOUS,LIMESTONE,5.3,10.15
7484,OIL,4089.999999999999,EXTENSION,SUB-SALT,AFRICA,160.0,140.0,NEOGENE,SANDSTONE,161.0,26.25
7485,OIL,2960.5,EXTENSION,BACKARC,FAR EAST,475.0,205.0,NEOGENE,SANDSTONE,1.305,5.05
7486,GAS,10170.0,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,160.0,71.5,CRETACEOUS,SANDSTONE,75.0,15.0
7487,OIL,4089.999999999999,COMPRESSION,FORELAND,NORTH AMERICA,475.0,337.5,CARBONIFEROUS,DOLOMITE,14.0,5.05
7488,OIL,6288.5,COMPRESSION,FORELAND,NORTH AMERICA,676.9999999999999,140.0,PERMIAN,DOLOMITE,5.3,17.5
7489,CARBON DIOXIDE,1320.5,COMPRESSION,FORELAND,NORTH AMERICA,46.5,29.75,PERMIAN,SANDSTONE,35.0,26.25
7490,OIL,1320.5,COMPRESSION,FORELAND,NORTH AMERICA,345.0,140.0,SILURIAN,DOLOMITE,14.0,10.15
7491,OIL,5153.499999999999,EXTENSION,RIFT,AFRICA,46.5,11.5,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,4350.0,41.5
7492,OIL,10170.0,COMPRESSION,FORELAND,NORTH AMERICA,475.0,337.5,PERMIAN,SANDSTONE,35.0,26.25
7493,OIL,4089.999999999999,COMPRESSION,FORELAND,NORTH AMERICA,475.0,337.5,PERMIAN,DOLOMITE,5.3,12.65
7494,OIL,5153.499999999999,EXTENSION,PASSIVE MARGIN,EUROPE,676.9999999999999,71.5,JURASSIC,SANDSTONE,850.0,41.5
7495,GAS,4089.999999999999,INVERSION,FORELAND,NORTH AMERICA,7000.0,140.0,PERMIAN,DOLOMITE,5.3,10.15
7496,OIL,2960.5,GRAVITY,SALT,NORTH AMERICA,101.0,71.5,CRETACEOUS,SANDSTONE,361.0,22.75
7497,OIL,15389.0,INVERSION,INVERSION,FAR EAST,245.0,140.0,NEOGENE,LOW-RESISTIVITY SANDSTONE,161.0,17.5
7498,OIL,4089.999999999999,COMPRESSION,FORELAND,NORTH AMERICA,475.0,101.5,CARBONIFEROUS,DOLOMITE,14.0,10.15
7499,OIL,7513.5,INVERSION,FORELAND,NORTH AMERICA,46.5,29.75,JURASSIC,LIMESTONE,161.0,10.15
7500,OIL,8763.5,COMPRESSION,FORELAND,FAR EAST,160.0,101.5,NEOGENE,SANDSTONE,361.0,17.5
7501,GAS,8763.5,INVERSION,SUB-SALT,EUROPE,475.0,205.0,PERMIAN,SANDSTONE,361.0,17.5
7502,OIL,7513.5,COMPRESSION,INVERSION,FORMER SOVIET UNION,160.0,140.0,NEOGENE,SANDSTONE,1.305,22.75
7503,OIL,7513.5,EXTENSION,RIFT,FAR EAST,101.0,71.5,PALEOGENE,SANDSTONE,161.0,20.0
7504,OIL,7513.5,COMPRESSION,FORELAND,EUROPE,676.9999999999999,140.0,CRETACEOUS,SANDSTONE,850.0,26.25
7505,GAS,6288.5,GRAVITY,SALT,NORTH AMERICA,7000.0,205.0,CRETACEOUS,SANDSTONE,4350.0,22.75
7506,OIL,4089.999999999999,GRAVITY,DELTA,NORTH AMERICA,345.0,101.5,PALEOGENE,SANDSTONE,361.0,22.75
7507,GAS,10170.0,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,1152.0,1700.5,CRETACEOUS,SANDSTONE,35.0,5.05
7508,OIL,6288.5,COMPRESSION,FORELAND,NORTH AMERICA,46.5,71.5,DEVONIAN,SANDSTONE,361.0,22.75
7509,OIL,4089.999999999999,EXTENSION,RIFT,FAR EAST,676.9999999999999,48.25,PALEOGENE,SANDSTONE,361.0,22.75
7510,OIL,8763.5,EXTENSION,RIFT,AFRICA,676.9999999999999,337.5,CAMBRIAN,SANDSTONE,4350.0,22.75
7511,OIL,10170.0,COMPRESSION,THRUST,FAR EAST,7000.0,1700.5,PALEOGENE,LIMESTONE,161.0,20.0
7512,GAS,1320.5,COMPRESSION,FORELAND,NORTH AMERICA,46.5,11.5,DEVONIAN,DOLOMITE,1.305,10.15
7513,OIL,6288.5,EXTENSION,RIFT,AFRICA,46.5,11.5,CRETACEOUS,SANDSTONE,850.0,41.5
7514,OIL,6288.5,EXTENSION,RIFT,FAR EAST,7000.0,140.0,PALEOGENE,SANDSTONE,35.0,15.0
7515,GAS,15389.0,COMPRESSION,FORELAND,NORTH AMERICA,46.5,11.5,CRETACEOUS,SILTSTONE,850.0,26.25
7516,OIL,1320.5,COMPRESSION,THRUST,NORTH AMERICA,345.0,101.5,CARBONIFEROUS,SANDSTONE,850.0,17.5
7517,OIL,1320.5,COMPRESSION,THRUST,FAR EAST,7000.0,1700.5,CRETACEOUS,SANDSTONE,161.0,22.75
7518,OIL,10170.0,COMPRESSION,THRUST,NORTH AMERICA,676.9999999999999,1700.5,SILURIAN,DOLOMITE,14.0,20.0
7519,GAS,10170.0,COMPRESSION,FORELAND,NORTH AMERICA,345.0,205.0,CRETACEOUS,SANDSTONE,35.0,15.0
7520,OIL,7513.5,INVERSION,INVERSION,FORMER SOVIET UNION,1152.0,337.5,DEVONIAN,SANDSTONE,75.0,22.75
7521,GAS,4089.999999999999,COMPRESSION,FORELAND,NORTH AMERICA,676.9999999999999,205.0,DEVONIAN,DOLOMITE,1.305,5.05
7522,OIL,5153.499999999999,GRAVITY,SALT,EUROPE,475.0,337.5,CRETACEOUS,CHALK,1.305,41.5
7523,OIL,5153.499999999999,COMPRESSION,FORELAND,NORTH AMERICA,345.0,337.5,CARBONIFEROUS,LIMESTONE,161.0,22.75
7524,OIL,10170.0,INVERSION,INVERSION,FAR EAST,7000.0,205.0,PALEOGENE,SANDSTONE,4350.0,26.25
7525,GAS-CONDENSATE,10170.0,STRIKE-SLIP,WRENCH,FAR EAST,676.9999999999999,205.0,NEOGENE,SANDSTONE,35.0,17.5
7526,OIL,2960.5,COMPRESSION,FORELAND,NORTH AMERICA,245.0,101.5,CRETACEOUS,SANDSTONE,14.0,15.0
7527,OIL,6288.5,INVERSION,INVERSION,AFRICA,101.0,48.25,CRETACEOUS,SANDSTONE,4350.0,41.5
7528,OIL,5153.499999999999,EXTENSION,RIFT,EUROPE,676.9999999999999,71.5,CRETACEOUS,SANDSTONE,361.0,26.25
7529,OIL,2960.5,GRAVITY,SALT,NORTH AMERICA,46.5,29.75,JURASSIC,SANDSTONE,5.3,10.15
7530,OIL,5153.499999999999,EXTENSION,RIFT,FAR EAST,676.9999999999999,140.0,PALEOGENE,SANDSTONE,850.0,20.0
7531,OIL,2960.5,GRAVITY,SALT,LATIN AMERICA,345.0,337.5,CRETACEOUS,LIMESTONE,1.305,5.05
7532,BITUMEN,1320.5,COMPRESSION,FORELAND,FORMER SOVIET UNION,160.0,140.0,NEOGENE,SANDSTONE,161.0,15.0
7533,OIL,1320.5,EXTENSION,RIFT,AFRICA,160.0,29.75,CRETACEOUS,LIMESTONE,14.0,12.65
7534,OIL,7513.5,COMPRESSION,THRUST,FAR EAST,7000.0,1700.5,CARBONIFEROUS,SANDSTONE,35.0,17.5
7535,GAS,8763.5,INVERSION,RIFT,FAR EAST,676.9999999999999,140.0,MESOZOIC,VOLCANICS,1.305,26.25
7536,GAS-CONDENSATE,8763.5,EXTENSION,RIFT,EUROPE,245.0,48.25,JURASSIC,SANDSTONE,361.0,20.0
7537,CARBON DIOXIDE,1320.5,EXTENSION,RIFT,AFRICA,1152.0,337.5,CRETACEOUS,LIMESTONE,14.0,10.15
7538,OIL,6288.5,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,7000.0,140.0,CRETACEOUS,SANDSTONE,4350.0,26.25
7539,OIL,4089.999999999999,COMPRESSION,FORELAND,NORTH AMERICA,46.5,11.5,CRETACEOUS,SANDSTONE,4350.0,26.25
7540,GAS-CONDENSATE,15389.0,INVERSION,INVERSION,EUROPE,475.0,205.0,CRETACEOUS,CHALK,1.305,5.05
7541,OIL,2960.5,COMPRESSION,FORELAND,NORTH AMERICA,101.0,71.5,CRETACEOUS,SANDSTONE,850.0,22.75
7542,GAS-CONDENSATE,15389.0,EXTENSION,SUB-SALT,AFRICA,101.0,11.5,TRIASSIC,SANDSTONE,4350.0,41.5
7543,OIL,10170.0,COMPRESSION,FORELAND,NORTH AMERICA,101.0,11.5,PERMIAN,DOLOMITE,14.0,10.15
7544,OIL,6288.5,GRAVITY,PASSIVE MARGIN,NORTH AMERICA,7000.0,140.0,CRETACEOUS,SANDSTONE,361.0,26.25
7545,OIL,15389.0,EXTENSION,RIFT,NORTH AMERICA,345.0,71.5,CRETACEOUS,LIMESTONE,161.0,22.75
7546,OIL,8763.5,EXTENSION,RIFT,EUROPE,475.0,48.25,JURASSIC,SANDSTONE,850.0,41.5
7547,GAS-CONDENSATE,15389.0,STRIKE-SLIP,INTRACRATONIC,NORTH AMERICA,7000.0,1700.5,PALEOGENE,SANDSTONE,361.0,22.75
7548,OIL,5153.499999999999,COMPRESSION,FORELAND,NORTH AMERICA,245.0,29.75,CARBONIFEROUS,LIMESTONE,14.0,22.75
7549,OIL,2960.5,COMPRESSION,FORELAND,MIDDLE EAST,160.0,48.25,CRETACEOUS,CHALKY LIMESTONE,5.3,10.15
7550,OIL,8763.5,EXTENSION,RIFT,EUROPE,676.9999999999999,140.0,JURASSIC,SANDSTONE,75.0,15.0
7551,OIL,5153.499999999999,EXTENSION,RIFT,FAR EAST,101.0,71.5,PALEOGENE,LIMESTONE,35.0,5.05
7552,GAS-CONDENSATE,6288.5,COMPRESSION,FORELAND,NORTH AMERICA,475.0,101.5,CRETACEOUS,SANDSTONE,361.0,17.5
7553,OIL,8763.5,EXTENSION,RIFT,EUROPE,475.0,205.0,JURASSIC,SANDSTONE,75.0,26.25
7554,GAS,6288.5,INVERSION,SUB-SALT,EUROPE,1152.0,337.5,PERMIAN,SANDSTONE,35.0,15.0
7555,OIL,4089.999999999999,COMPRESSION,THRUST,LATIN AMERICA,475.0,101.5,NEOGENE,SANDSTONE,161.0,22.75
7556,OIL,8763.5,EVAPORITE,PASSIVE MARGIN,AFRICA,46.5,11.5,NEOGENE,SANDSTONE,35.0,17.5
7557,GAS,6288.5,COMPRESSION,FORELAND,NORTH AMERICA,475.0,337.5,PERMIAN,SANDSTONE,1.305,12.65
7558,OIL,15389.0,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,245.0,140.0,JURASSIC,SANDSTONE,4350.0,41.5
7559,OIL,6288.5,COMPRESSION,FORELAND,NORTH AMERICA,475.0,140.0,DEVONIAN,SANDSTONE,75.0,22.75
7560,OIL,2960.5,STRIKE-SLIP,WRENCH,NORTH AMERICA,160.0,71.5,NEOGENE,LOW-RESISTIVITY SANDSTONE,4350.0,17.5
7561,OIL,8763.5,COMPRESSION,FORELAND,NORTH AMERICA,475.0,29.75,CRETACEOUS,SANDSTONE,850.0,12.65
7562,OIL,6288.5,COMPRESSION,INTRACRATONIC,NORTH AMERICA,101.0,48.25,TRIASSIC,SANDSTONE,361.0,22.75
7563,OIL,1320.5,COMPRESSION,FORELAND,NORTH AMERICA,345.0,205.0,PERMIAN,DOLOMITE,5.3,12.65
7564,OIL,15389.0,COMPRESSION,FORELAND,NORTH AMERICA,46.5,29.75,DEVONIAN,LIMESTONE,1.305,5.05
7565,OIL,4089.999999999999,EXTENSION,SUB-SALT,AFRICA,101.0,71.5,CARBONIFEROUS,SANDSTONE,850.0,26.25
7566,OIL,2960.5,GRAVITY,DELTA,NORTH AMERICA,345.0,11.5,PALEOGENE,SANDSTONE,75.0,41.5
7567,OIL,8763.5,INVERSION,INVERSION,FAR EAST,160.0,71.5,PALEOGENE,SANDSTONE,14.0,5.05
7568,OIL,15389.0,COMPRESSION,FORELAND,NORTH AMERICA,245.0,11.5,PERMIAN,SILTSTONE,1.305,5.05
7569,GAS,8763.5,COMPRESSION,THRUST,FAR EAST,7000.0,140.0,CRETACEOUS,GLAUCONITIC SANDSTONE,850.0,26.25
7570,OIL,5153.499999999999,STRIKE-SLIP,WRENCH,NORTH AMERICA,46.5,11.5,NEOGENE,SANDSTONE,161.0,20.0
7571,OIL,1320.5,COMPRESSION,FORELAND,NORTH AMERICA,160.0,48.25,DEVONIAN,DOLOMITE,5.3,10.15
7572,OIL,2960.5,GRAVITY,SALT,NORTH AMERICA,160.0,48.25,CRETACEOUS,SANDSTONE,161.0,15.0
7573,OIL,7513.5,COMPRESSION,THRUST,MIDDLE EAST,676.9999999999999,205.0,CRETACEOUS,LIMESTONE,75.0,5.05
